DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	n_amr_genes_strict
COLOR	#ff0000
COLOR_MIN	#ffffff
COLOR_MAX	#000000
DATA
af_0058_0083_b5	2.0
af_0058_0083_b5	2.0
af_0058_0071_c6	2.0
af_0058_0071_c6	2.0
af_0058_0077_b6	2.0
af_0058_0077_b6	2.0
af_0058_0071_b4	2.0
af_0058_0071_b4	2.0
af_0058_0066_c1	2.0
af_0058_0066_c1	2.0
af_0058_0083_h5	2.0
af_0058_0083_h5	2.0
af_0058_0077_b3	2.0
af_0058_0077_b3	2.0
af_0058_0077_a3	2.0
af_0058_0077_a3	2.0
af_0058_0077_c3	2.0
af_0058_0077_c3	2.0
af_0058_0083_h2	2.0
af_0058_0083_h2	2.0
af_0058_0077_h5	2.0
af_0058_0077_h5	2.0
af_0058_0066_d3	2.0
af_0058_0066_d3	2.0
af_0058_0071_h6	2.0
af_0058_0071_h6	2.0
af_0058_0071_d3	2.0
af_0058_0071_d3	2.0
af_0058_0071_c3	2.0
af_0058_0071_c3	2.0
af_0058_0061_h7	2.0
af_0058_0061_h7	2.0
af_0058_0071_g3	2.0
af_0058_0071_g3	2.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
am_0025_0078_d12	34.0
af_0058_0061_h6	2.0
af_0058_0061_h6	2.0
af_0058_0056_g4	2.0
af_0058_0056_g4	2.0
af_0058_0071_g1	2.0
af_0058_0071_g1	2.0
af_0058_0056_a5	2.0
af_0058_0056_a5	2.0
an_0080_0058_h6	2.0
an_0080_0058_h6	2.0
af_0058_0056_a3	2.0
